"station_id","name","state","local_authority","latitude","longitude","existing_charger_count","proposed_charger_count","ac_charger_count","dc_charger_count","indoor_outdoor","status","data_as","source_name","source_url","source_record_id","retrieved_at_utc"
"mevnet-3993","GURNEY BEACH CONDO","PULAU PINANG","Majlis Bandaraya Pulau Pinang","5.43044678","100.3184028","3","1","3","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3993","2026-07-26T09:23:16Z"
"mevnet-3994","PENANG MARRIOTT HOTEL","PULAU PINANG","Majlis Bandaraya Pulau Pinang","5.43166259","100.3175074","7","1","7","0","Indoor & Outdoor","Existing","20-May-25","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3994","2026-07-26T09:23:16Z"
"mevnet-3995","HIGHLANDER GUEST HOUSE","PAHANG","Majlis Daerah Cameron Highlands","4.46818523","101.3753027","1","1","1","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3995","2026-07-26T09:23:16Z"
"mevnet-3996","SENAWANG SOUTH BOUND LAYBY","NEGERI SEMBILAN","Majlis Bandaraya Seremban","2.64046207","101.9955028","4","1","0","4","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3996","2026-07-26T09:23:16Z"
"mevnet-3997","REGINA CONDOMINIUM","SELANGOR","Majlis Bandaraya Subang Jaya","3.05241736","101.5995199","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3997","2026-07-26T09:23:16Z"
"mevnet-3998","MASJID AL-EHSAN, INSTITUT TEKNOLOGI PETRONAS (INSTEP)","TERENGGANU","Majlis Bandaraya Kuala Terengganu","5.47435051","103.0159147","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3998","2026-07-26T09:23:16Z"
"mevnet-3999","SENAWANG NORTH BOUND LAYBY","NEGERI SEMBILAN","Majlis Bandaraya Seremban","2.63063058","101.9979288","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3999","2026-07-26T09:23:16Z"
"mevnet-4000","SENTUL POINT APARMENT","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.20210704","101.6886852","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4000","2026-07-26T09:23:16Z"
"mevnet-4001","SUNWAY UNIVERSITY","SELANGOR","Majlis Bandaraya Subang Jaya","3.06724349","101.6038454","3","1","3","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4001","2026-07-26T09:23:16Z"
"mevnet-4002","BEHRANG LAYBY SOUTHBOUND ","PERAK","Majlis Daerah Tanjung Malim","3.78390238","101.4461175","4","1","0","4","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4002","2026-07-26T09:23:16Z"
"mevnet-4003","PROTON 3S ANGGERIK MOTOR","JOHOR","Majlis Perbandaran Kulai","1.60228521","103.6459045","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4003","2026-07-26T09:23:16Z"
"mevnet-4004","RIVERVILLE RESIDENCES","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.07609779","101.655926","4","1","4","0","Outdoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4004","2026-07-26T09:23:16Z"
"mevnet-4005","UTROPOLIS SUITES","SELANGOR","Majlis Bandaraya Shah Alam","3.09119816","101.5589574","3","1","3","0","Outdoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","4005","2026-07-26T09:23:16Z"
